Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,SO_ratio,Ground_Out_ratio,Fly_Out_ratio,Out_ratio,Speed
會澤翼,0.13816477987421386,0.03773584905660377,0.0001,0.0001,0.05660377358490566,0.27044025157232704,0.2981132075471698,0.19874213836477989,0.7672955974842768,0
秋山翔吾,0.22657580919931858,0.034071550255536626,0.0017035775127768314,0.0068143100511073255,0.05792163543441227,0.1635434412265758,0.3056218057921636,0.20374787052810905,0.6729131175468485,-1
石原貴規,0.13659064748201444,0.04316546762589929,0.00010000000000000002,0.021582733812949645,0.07194244604316548,0.15827338129496404,0.34100719424460435,0.22733812949640292,0.7266187050359714,0
上本崇司,0.17103287671232878,0.0136986301369863,0.0001,0.0001,0.0547945205479452,0.1643835616438356,0.3575342465753425,0.23835616438356166,0.7602739726027398,-4
宇草孔基,0.14656666666666668,0.02666666666666667,0.0001,0.04,0.08,0.29333333333333333,0.248,0.16533333333333333,0.7066666666666667,1
菊池涼介,0.16287786720321934,0.03822937625754527,0.0001,0.018108651911468814,0.052313883299798795,0.13883299798792756,0.35372233400402414,0.2358148893360161,0.7283702213279678,-2
小園海斗,0.2227891156462585,0.025510204081632654,0.00510204081632653,0.003401360544217687,0.061224489795918366,0.09013605442176871,0.3551020408163265,0.23673469387755103,0.6819727891156462,4
坂倉将吾,0.18831168831168832,0.04112554112554113,0.0021645021645021645,0.025974025974025976,0.06926406926406926,0.17316017316017315,0.3,0.2,0.6731601731601731,2
末包昇大,0.14792631578947368,0.046052631578947366,0.0001,0.029605263157894735,0.05921052631578947,0.27960526315789475,0.2625,0.17500000000000002,0.7171052631578948,-3
田中広輔,0.10175185185185184,0.018518518518518517,0.0001,0.018518518518518517,0.09259259259259259,0.24074074074074073,0.31666666666666665,0.21111111111111114,0.7685185185185185,-1
田村俊介,0.14140943396226416,0.02830188679245283,0.018867924528301886,0.0001,0.03773584905660377,0.25471698113207547,0.3113207547169811,0.20754716981132076,0.7735849056603774,5
堂林翔太,0.15374615384615387,0.047619047619047616,0.0001,0.003663003663003663,0.06227106227106227,0.2454212454212454,0.2923076923076923,0.1948717948717949,0.7326007326007327,-4
床田寛樹,0.1535461538461539,0.0001,0.0001,0.0001,0.0,0.1346153846153846,0.4269230769230769,0.28461538461538466,0.8461538461538463,0
中村奨成,0.11408571428571428,0.02857142857142857,0.0001,0.0001,0.014285714285714285,0.18571428571428572,0.3942857142857143,0.26285714285714284,0.842857142857143,-2
野間峻祥,0.19413092550790068,0.03160270880361174,0.011286681715575621,0.002257336343115124,0.10835214446952596,0.11738148984198646,0.3209932279909707,0.2139954853273138,0.652370203160271,13
林晃汰,0.109175,0.0625,0.0001,0.0001,0.0625,0.3125,0.271875,0.18125000000000002,0.765625,0
二俣翔一,0.13104754098360658,0.03278688524590164,0.0001,0.00819672131147541,0.07377049180327869,0.21311475409836064,0.3245901639344262,0.2163934426229508,0.7540983606557377,1
松山竜平,0.10246410256410256,0.05128205128205128,0.0001,0.01282051282051282,0.05128205128205128,0.15384615384615385,0.3769230769230769,0.2512820512820513,0.782051282051282,0
森下暢仁,0.19210769230769234,0.019230769230769232,0.0001,0.0001,0.038461538461538464,0.23076923076923078,0.3115384615384615,0.20769230769230768,0.75,0
矢野雅哉,0.18383838383838386,0.026262626262626265,0.012121212121212123,0.004040404040404041,0.08282828282828285,0.22020202020202023,0.28242424242424247,0.18828282828282833,0.6909090909090911,11
