Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,SO_ratio,Ground_Out_ratio,Fly_Out_ratio,Out_ratio,Speed
青木宣親,0.16015625,0.03125,0.00390625,0.01953125,0.12109375,0.109375,0.3328125,0.22187500000000002,0.6640625,4
内山壮真,0.1318796954314721,0.05583756345177665,0.0001,0.02030456852791878,0.08629441624365482,0.2639593908629442,0.2649746192893401,0.17664974619289342,0.7055837563451777,0
オスナ,0.17769376181474483,0.03591682419659736,0.0037807183364839325,0.03780718336483933,0.056710775047258986,0.17580340264650288,0.3073724007561437,0.20491493383742915,0.6880907372400757,2
太田賢吾,0.19083969465648856,0.03816793893129771,0.007633587786259542,0.007633587786259542,0.06870229007633588,0.183206106870229,0.30229007633587784,0.2015267175572519,0.6870229007633588,3
小川泰弘,0.0783313725490196,0.0196078431372549,0.0001,0.0196078431372549,0.0,0.27450980392156865,0.36470588235294116,0.24313725490196078,0.8823529411764706,0
川端慎吾,0.14042500000000002,0.015625,0.0001,0.0001,0.078125,0.109375,0.39375,0.2625,0.765625,0
キブレハン,0.12633678160919543,0.034482758620689655,0.0001,0.06896551724137931,0.034482758620689655,0.2413793103448276,0.296551724137931,0.19770114942528735,0.735632183908046,-2
古賀優大,0.12967012987012988,0.03896103896103896,0.0001,0.0001,0.025974025974025976,0.14285714285714285,0.39740259740259737,0.26493506493506497,0.8051948051948052,0
サンタナ,0.13943488372093024,0.03255813953488372,0.0001,0.06976744186046512,0.11162790697674418,0.3395348837209302,0.18418604651162787,0.1227906976744186,0.6465116279069767,0
塩見泰隆,0.15520282186948853,0.05291005291005291,0.010582010582010581,0.02821869488536155,0.09700176366843033,0.21516754850088182,0.2645502645502646,0.17636684303350975,0.6560846560846562,28
長岡秀樹,0.16778321167883212,0.040145985401459854,0.0001,0.016423357664233577,0.043795620437956206,0.13138686131386862,0.3602189781021898,0.24014598540145987,0.7317518248175183,-4
中村悠平,0.1791530944625407,0.029315960912052116,0.003257328990228013,0.016286644951140065,0.09771986970684039,0.11726384364820847,0.33420195439739414,0.2228013029315961,0.6742671009771988,3
濱田太貴,0.11486486486486487,0.033783783783783786,0.006756756756756757,0.04054054054054054,0.04054054054054054,0.22972972972972974,0.3202702702702703,0.21351351351351353,0.7635135135135136,1
丸山和郁,0.16484845360824743,0.041237113402061855,0.0001,0.010309278350515464,0.030927835051546393,0.25773195876288657,0.29690721649484536,0.19793814432989693,0.7525773195876289,-4
宮本丈,0.16407910447761195,0.04477611940298507,0.0001,0.007462686567164179,0.09701492537313433,0.11194029850746269,0.3447761194029851,0.22985074626865673,0.6865671641791045,0
村上宗隆,0.12581699346405228,0.03431372549019608,0.0016339869281045752,0.0915032679738562,0.2042483660130719,0.20915032679738563,0.2,0.13333333333333336,0.542483660130719,1
山崎晃大朗,0.18518518518518517,0.031746031746031744,0.010582010582010581,0.005291005291005291,0.06878306878306878,0.17195767195767195,0.3158730158730159,0.21058201058201062,0.6984126984126985,12
山田哲人,0.1110111111111111,0.05740740740740741,0.0001,0.04259259259259259,0.12222222222222222,0.25925925925925924,0.24444444444444446,0.16296296296296298,0.6666666666666667,6
