選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
アドゥワ誠,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
アンダーソン,21,11,11,1,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0.091,0.091,0.091
會澤翼,54,133,116,6,20,4,0,1,27,10,0,0,2,1,10,0,4,26,4,0.172,0.233,0.26
秋山翔吾,115,483,434,48,119,20,6,4,163,38,8,3,9,1,35,3,4,81,12,0.274,0.376,0.333
磯村嘉孝,25,32,29,2,6,1,0,1,10,4,0,0,1,0,1,0,1,10,2,0.207,0.345,0.258
一岡竜司,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
上本崇司,84,276,247,20,64,7,1,1,76,17,8,2,8,0,12,0,9,46,1,0.259,0.308,0.317
遠藤淳志,8,13,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0.0,0.0,0.0
大瀬良大地,23,33,30,0,0,0,0,0,0,0,1,0,2,0,1,0,0,15,0,0.0,0.0,0.032
大道温貴,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
大盛穂,59,71,66,10,10,2,0,1,15,5,4,3,1,0,2,0,2,22,1,0.152,0.227,0.2
河野佳,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
菊池涼介,120,485,442,51,114,17,0,5,146,27,7,5,8,1,32,1,2,68,6,0.258,0.33,0.31
九里亜蓮,26,54,45,1,2,0,0,0,2,0,0,0,9,0,0,0,0,25,0,0.044,0.044,0.044
栗林良吏,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
黒原拓未,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0
ケムナ誠,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
コルニエル,8,10,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0.0,0.0,0.111
小園海斗,80,306,290,25,83,11,7,6,126,31,8,4,4,0,10,1,2,38,7,0.286,0.434,0.315
坂倉将吾,120,448,395,48,105,19,1,12,162,44,3,0,1,2,47,6,3,67,9,0.266,0.41,0.347
島内颯太郎,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
末包昇大,65,146,139,16,38,6,0,11,77,27,0,0,0,0,6,1,1,40,5,0.273,0.554,0.308
曽根海成,39,15,14,6,2,1,0,0,3,0,1,1,0,0,1,0,0,3,0,0.143,0.214,0.2
ターリー,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
田中広輔,111,253,224,28,51,10,0,6,79,28,2,6,3,0,25,2,1,48,6,0.228,0.353,0.308
玉村昇悟,9,15,14,0,2,0,0,0,2,2,0,0,1,0,0,0,0,9,0,0.143,0.143,0.143
田村俊介,10,22,22,3,8,2,0,0,10,0,0,0,0,0,0,0,0,6,1,0.364,0.455,0.364
デビッドソン,112,381,348,34,73,16,1,19,148,44,0,1,0,2,22,1,9,120,11,0.21,0.425,0.273
堂林翔太,100,284,260,29,71,13,0,12,120,35,1,6,5,0,19,3,0,72,7,0.273,0.462,0.323
床田寛樹,24,50,40,3,11,4,0,0,15,1,0,0,8,0,2,0,0,12,0,0.275,0.375,0.31
戸根千明,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
中﨑翔太,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
中村奨成,18,20,20,2,3,0,0,0,3,0,0,1,0,0,0,0,0,7,0,0.15,0.15,0.15
中村貴浩,15,37,34,3,6,1,0,0,7,3,1,0,0,1,1,0,1,10,2,0.176,0.206,0.216
中村祐太,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
西川龍馬,109,443,416,48,127,20,1,9,176,56,7,6,1,4,21,4,1,52,10,0.305,0.423,0.337
韮澤雄也,45,55,50,5,7,2,0,0,9,3,0,0,0,0,5,1,0,13,3,0.14,0.18,0.218
野間峻祥,108,418,371,37,106,11,1,0,119,26,5,6,8,1,33,0,5,51,10,0.286,0.321,0.351
野村祐輔,6,10,8,0,1,0,0,0,1,0,0,0,1,0,1,0,0,3,0,0.125,0.125,0.222
羽月隆太郎,50,53,47,10,7,1,0,0,8,4,14,6,2,0,4,0,0,12,3,0.149,0.17,0.216
林晃汰,20,62,58,5,12,4,0,1,19,5,0,0,0,0,3,0,1,20,0,0.207,0.328,0.258
塹江敦哉,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
マクブルーム,70,259,226,21,50,12,0,6,80,31,1,0,0,4,28,1,1,56,9,0.221,0.354,0.305
益田武尚,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
松本竜也,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
松山竜平,79,156,143,5,36,9,0,0,45,27,0,0,0,2,10,0,1,27,4,0.252,0.315,0.301
森翔平,12,15,10,1,2,0,0,0,2,1,0,0,3,0,2,0,0,2,0,0.2,0.2,0.333
森浦大輔,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
森下暢仁,20,41,35,3,6,2,0,1,11,4,0,0,5,0,1,0,0,12,0,0.171,0.314,0.194
矢崎拓也,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
矢野雅哉,93,146,119,22,22,2,0,0,24,3,7,0,12,1,14,1,0,35,2,0.185,0.202,0.269
薮田和樹,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
