Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,SO_ratio,Ground_Out_ratio,Fly_Out_ratio,Out_ratio,Speed
會澤翼,0.07252727272727272,0.01818181818181818,0.0001,0.0001,0.16363636363636364,0.2909090909090909,0.27272727272727276,0.18181818181818185,0.7454545454545456,-2
秋山翔吾,0.19735222929936308,0.03821656050955414,0.0001,0.006369426751592357,0.07006369426751592,0.17197452229299362,0.3095541401273885,0.20636942675159237,0.6878980891719746,0
石原貴規,0.14139292035398232,0.02654867256637168,0.0001,0.0001,0.05309734513274336,0.25663716814159293,0.31327433628318585,0.20884955752212392,0.7787610619469028,0
大盛穂,0.19411764705882353,0.03529411764705882,0.0058823529411764705,0.01764705882352941,0.052941176470588235,0.2411764705882353,0.2717647058823529,0.18117647058823527,0.6941176470588235,6
菊池涼介,0.16785865633074937,0.04909560723514212,0.0001,0.0103359173126615,0.03875968992248062,0.18087855297157623,0.3317829457364341,0.22118863049095605,0.7338501291989663,-1
小園海斗,0.22456140350877193,0.042105263157894736,0.007017543859649123,0.005263157894736842,0.08070175438596491,0.0824561403508772,0.3347368421052631,0.2231578947368421,0.6403508771929824,12
坂倉将吾,0.12531328320802004,0.06516290726817042,0.002506265664160401,0.012531328320802004,0.11779448621553884,0.18045112781954886,0.2977443609022557,0.1984962406015038,0.6766917293233083,4
佐々木泰,0.2457100558659218,0.0111731843575419,0.00558659217877095,0.0001,0.0335195530726257,0.12290502793296089,0.3486033519553073,0.23240223463687154,0.7039106145251397,5
末包昇大,0.15644820295983086,0.03805496828752643,0.006342494714587738,0.023255813953488372,0.07399577167019028,0.2029598308668076,0.2993657505285412,0.1995771670190275,0.7019027484143763,5
田村俊介,0.2027985507246377,0.0001,0.014492753623188406,0.014492753623188406,0.08695652173913043,0.2028985507246377,0.2869565217391304,0.19130434782608693,0.681159420289855,1
堂林翔太,0.07782207792207792,0.07792207792207792,0.0001,0.012987012987012988,0.07792207792207792,0.2987012987012987,0.27272727272727276,0.18181818181818185,0.7532467532467533,0
床田寛樹,0.19288245614035088,0.03508771929824561,0.0001,0.017543859649122806,0.0,0.21052631578947367,0.3263157894736842,0.21754385964912282,0.7543859649122807,0
中村奨成,0.16944444444444445,0.058333333333333334,0.008333333333333333,0.025,0.05555555555555555,0.13333333333333333,0.33,0.22000000000000003,0.6833333333333333,-1
野間峻祥,0.19869518072289158,0.018072289156626505,0.012048192771084338,0.0001,0.06626506024096386,0.18072289156626506,0.3144578313253012,0.20963855421686747,0.7048192771084337,6
羽月隆太郎,0.22679075630252102,0.01680672268907563,0.01680672268907563,0.0001,0.1092436974789916,0.24369747899159663,0.23193277310924365,0.1546218487394958,0.6302521008403361,13
ファビアン,0.17822167832167835,0.05244755244755245,0.0001,0.02972027972027972,0.05419580419580419,0.14685314685314685,0.32307692307692304,0.2153846153846154,0.6853146853146853,-4
二俣翔一,0.10769230769230771,0.030769230769230774,0.007692307692307694,0.02307692307692308,0.06923076923076925,0.2384615384615385,0.31384615384615383,0.20923076923076925,0.7615384615384616,2
前川誠太,0.12707272727272728,0.05454545454545454,0.0001,0.0001,0.03636363636363636,0.18181818181818182,0.36000000000000004,0.24000000000000005,0.781818181818182,-2
モンテロ,0.15696202531645573,0.05316455696202532,0.0025316455696202536,0.022784810126582282,0.06329113924050635,0.22531645569620257,0.28556962025316457,0.19037974683544306,0.7012658227848103,3
森下暢仁,0.0797,0.0001,0.0001,0.0001,0.04,0.38,0.3,0.2,0.8799999999999999,0
矢野雅哉,0.15105740181268884,0.018126888217522664,0.003021148036253777,0.003021148036253777,0.09667673716012086,0.20241691842900306,0.3154078549848943,0.2102719033232629,0.7280966767371604,-1
