Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,SO_ratio,Ground_Out_ratio,Fly_Out_ratio,Out_ratio,Speed
秋広優人,0.13549322033898306,0.03389830508474576,0.0001,0.01694915254237288,0.1016949152542373,0.2711864406779661,0.2644067796610169,0.17627118644067796,0.711864406779661,0
石塚綜一郎,0.14980000000000002,0.06666666666666667,0.0001,0.0001,0.08333333333333333,0.2833333333333333,0.25000000000000006,0.1666666666666667,0.7000000000000002,0
今宮健太,0.16483516483516486,0.043956043956043966,0.005494505494505496,0.010989010989010992,0.07692307692307694,0.1263736263736264,0.34285714285714286,0.2285714285714286,0.6978021978021978,3
海野隆司,0.14212222222222223,0.04,0.008888888888888889,0.0001,0.035555555555555556,0.24444444444444444,0.3173333333333333,0.21155555555555555,0.7733333333333332,6
緒方理貢,0.17381304347826088,0.014492753623188406,0.014492753623188406,0.0001,0.028985507246376812,0.13043478260869565,0.38260869565217387,0.25507246376811593,0.7681159420289854,4
川瀬晃,0.16374269005847952,0.04093567251461988,0.005847953216374269,0.011695906432748537,0.0935672514619883,0.15204678362573099,0.3192982456140351,0.21286549707602342,0.6842105263157895,4
栗原陵矢,0.15019762845849802,0.023715415019762844,0.003952569169960474,0.023715415019762844,0.13043478260869565,0.17786561264822134,0.2940711462450593,0.19604743083003956,0.6679841897233203,2
近藤健介,0.16005625,0.0546875,0.0001,0.03125,0.171875,0.12890625,0.271875,0.18125000000000002,0.58203125,0
佐藤直樹,0.12376237623762376,0.034653465346534656,0.019801980198019802,0.019801980198019802,0.06930693069306931,0.33663366336633666,0.23762376237623756,0.1584158415841584,0.7326732673267327,20
周東佑京,0.21683673469387754,0.03316326530612245,0.00510204081632653,0.007653061224489796,0.09438775510204081,0.16326530612244897,0.2877551020408164,0.1918367346938776,0.642857142857143,31
ダウンズ,0.09523809523809523,0.05952380952380952,0.017857142857142856,0.023809523809523808,0.11904761904761904,0.21428571428571427,0.28214285714285714,0.1880952380952381,0.6845238095238095,11
中村晃,0.17241379310344832,0.021220159151193636,0.007957559681697614,0.007957559681697614,0.10875331564986739,0.1193633952254642,0.3374005305039788,0.22493368700265254,0.6816976127320955,6
野村勇,0.17331040462427746,0.03757225433526012,0.0001,0.03468208092485549,0.07225433526011561,0.2774566473988439,0.24277456647398843,0.161849710982659,0.6820809248554913,10
廣瀨隆太,0.17011276595744682,0.02127659574468085,0.0001,0.010638297872340425,0.07446808510638298,0.2978723404255319,0.25531914893617025,0.17021276595744683,0.723404255319149,1
牧原大成,0.22010869565217392,0.04076086956521739,0.016304347826086956,0.01358695652173913,0.021739130434782608,0.12771739130434784,0.33586956521739125,0.22391304347826085,0.6875,24
正木智也,0.19980000000000006,0.00010000000000000002,0.00010000000000000002,0.030769230769230774,0.07692307692307694,0.18461538461538465,0.3046153846153846,0.2030769230769231,0.6923076923076923,1
嶺井博希,0.16656666666666667,0.02,0.0001,0.02666666666666667,0.05333333333333334,0.17333333333333334,0.336,0.22400000000000003,0.7333333333333334,0
柳町達,0.2018348623853211,0.03211009174311927,0.0022935779816513763,0.009174311926605505,0.13990825688073394,0.20871559633027523,0.24357798165137612,0.1623853211009174,0.6146788990825688,1
山川穂高,0.13829285714285716,0.017857142857142856,0.0001,0.044642857142857144,0.08928571428571429,0.25669642857142855,0.271875,0.18125000000000002,0.7098214285714285,0
山本恵大,0.1499,0.0125,0.0001,0.025,0.125,0.2125,0.285,0.19,0.6875,0
渡邉陸,0.15666274509803924,0.0392156862745098,0.0001,0.0001,0.11764705882352941,0.3333333333333333,0.211764705882353,0.14117647058823532,0.6862745098039217,1
