Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,SO_ratio,Ground_Out_ratio,Fly_Out_ratio,Out_ratio,Speed
浅野翔吾,0.08186721311475409,0.04918032786885246,0.0001,0.03278688524590164,0.06557377049180328,0.22950819672131148,0.32459016393442625,0.21639344262295085,0.7704918032786885,0
荒巻悠,0.22621509433962267,0.0001,0.0001,0.018867924528301886,0.1320754716981132,0.22641509433962265,0.23773584905660372,0.1584905660377358,0.6226415094339621,-4
泉口友汰,0.20392298850574714,0.034482758620689655,0.0001,0.011494252873563218,0.09482758620689655,0.11781609195402298,0.32241379310344825,0.2149425287356322,0.6551724137931034,-4
オコエ瑠偉,0.16511739130434783,0.034782608695652174,0.017391304347826087,0.0001,0.05217391304347826,0.22608695652173913,0.3026086956521739,0.20173913043478262,0.7304347826086957,3
大城卓三,0.07452686567164178,0.014925373134328358,0.0001,0.04477611940298507,0.04477611940298507,0.3283582089552239,0.2955223880597015,0.19701492537313434,0.8208955223880597,0
岡本和真,0.1417910447761194,0.05970149253731343,0.007462686567164179,0.05970149253731343,0.11194029850746269,0.11940298507462686,0.3,0.2,0.6194029850746269,2
甲斐拓也,0.19720941704035874,0.013452914798206279,0.0001,0.013452914798206279,0.08968609865470852,0.2242152466367713,0.2771300448430493,0.18475336322869956,0.6860986547085202,0
門脇誠,0.17414242424242427,0.022727272727272728,0.007575757575757576,0.0001,0.07575757575757576,0.18181818181818182,0.3227272727272727,0.21515151515151515,0.7196969696969697,6
キャベッジ,0.1422487544483986,0.046263345195729534,0.0001,0.028469750889679714,0.08896797153024912,0.29537366548042704,0.23914590747330963,0.15943060498220643,0.693950177935943,-3
岸田行倫,0.21249842519685042,0.031496062992125984,0.0001,0.023622047244094488,0.07086614173228346,0.13385826771653545,0.3165354330708661,0.2110236220472441,0.6614173228346457,-2
坂本勇人,0.11024482758620689,0.06206896551724138,0.0001,0.013793103448275862,0.08275862068965517,0.23448275862068965,0.2979310344827586,0.19862068965517243,0.7310344827586207,0
佐々木俊輔,0.20269855072463772,0.028985507246376812,0.0001,0.0001,0.057971014492753624,0.17391304347826086,0.3217391304347826,0.2144927536231884,0.7101449275362318,-2
中山礼都,0.19098280254777072,0.025477707006369428,0.0001,0.012738853503184714,0.03821656050955414,0.1464968152866242,0.35159235668789807,0.23439490445859873,0.7324840764331211,-4
ヘルナンデス,0.13033478260869566,0.049689440993788817,0.0001,0.012422360248447204,0.11801242236024845,0.19254658385093168,0.29813664596273287,0.19875776397515527,0.6894409937888197,-6
増田陸,0.17132857142857144,0.04081632653061224,0.0001,0.02040816326530612,0.05714285714285714,0.19183673469387755,0.3110204081632653,0.20734693877551022,0.7102040816326531,-6
丸佳浩,0.16860465116279072,0.04651162790697675,0.011627906976744188,0.011627906976744188,0.13953488372093026,0.16279069767441864,0.2755813953488372,0.18372093023255814,0.622093023255814,5
吉川尚輝,0.19270833333333337,0.03385416666666667,0.007812500000000002,0.007812500000000002,0.10416666666666669,0.14062500000000003,0.3078125,0.20520833333333335,0.6536458333333334,12
リチャード,0.03215806451612903,0.03225806451612903,0.0001,0.04838709677419355,0.04838709677419355,0.45161290322580644,0.23225806451612901,0.15483870967741936,0.8387096774193548,0
若林楽人,0.16,0.045714285714285714,0.011428571428571429,0.017142857142857144,0.09142857142857143,0.16,0.30857142857142855,0.2057142857142857,0.6742857142857143,12
